Date,Symbol,Buy,Sell,Total,Net
2026-07-09,SPCG,2020255.0,663305.0,2683560.0,1356950.0
2026-07-09,SPRC,116796925.0,77905270.0,194702195.0,38891655.0
2026-07-09,SPVI,472098.0,19080.0,491178.0,453018.0
2026-07-09,SRICHA,6019640.0,4813100.0,10832740.0,1206540.0
2026-07-09,SSP,2224062.0,71138.0,2295200.0,2152924.0
2026-07-09,SST,0.0,95.0,95.0,-95.0
2026-07-09,STA,84029280.0,43391190.0,127420470.0,40638090.0
2026-07-09,STANLY,541700.0,924900.0,1466600.0,-383200.0
2026-07-09,STARM,0.0,3740.0,3740.0,-3740.0
2026-07-09,STECON,104276740.0,18509150.0,122785890.0,85767590.0
2026-07-09,STELLA,4263.0,348.0,4611.0,3915.0
2026-07-09,STGT,2990040.0,1702159.0,4692199.0,1287881.0
2026-07-09,STOWER,311.0,0.0,311.0,311.0
2026-07-09,STPI,5275985.0,3873750.0,9149735.0,1402235.0
2026-07-09,SUC,185300.0,0.0,185300.0,185300.0
2026-07-09,SUN,0.0,9828.0,9828.0,-9828.0
2026-07-09,SUPER,0.0,1767.0,1767.0,-1767.0
2026-07-09,SUSCO,539200.0,37628.0,576828.0,501572.0
2026-07-09,SVOA,17310.0,45599.0,62909.0,-28289.0
2026-07-09,SVT,1250.0,1534.0,2784.0,-284.0
2026-07-09,SYMC,0.0,282.5,282.5,-282.5
2026-07-09,SYNEX,13480485.0,518735.0,13999220.0,12961750.0
2026-07-09,SYNTEC,606153.0,18480.0,624633.0,587673.0
2026-07-09,TACC,10030705.0,1342175.0,11372880.0,8688530.0
2026-07-09,TAE,610751.0,2139076.0,2749827.0,-1528325.0
2026-07-09,TAKUNI,76626.0,0.0,76626.0,76626.0
2026-07-09,TASCO,4615990.0,1424250.0,6040240.0,3191740.0
2026-07-09,TC,0.0,87115.0,87115.0,-87115.0
2026-07-09,TCAP,66641075.0,51228275.0,117869350.0,15412800.0
2026-07-09,TCJ,242.0,0.0,242.0,242.0
2026-07-09,TCMC,308.0,0.0,308.0,308.0
2026-07-09,TEAM,3024514.0,673804.0,3698318.0,2350710.0
2026-07-09,TEAMG,1741642.0,247330.0,1988972.0,1494312.0
2026-07-09,TEGH,18280.0,8060.0,26340.0,10220.0
2026-07-09,TERA,0.0,33522.0,33522.0,-33522.0
2026-07-09,TFG,37841900.0,36186510.0,74028410.0,1655390.0
2026-07-09,TFM,55510.0,507255.0,562765.0,-451745.0
2026-07-09,TFMAMA,353700.0,0.0,353700.0,353700.0
2026-07-09,TGE,98.0,0.0,98.0,98.0
2026-07-09,THAI,108499200.0,125740695.0,234239895.0,-17241495.0
2026-07-09,THANI,12872796.0,6460872.0,19333668.0,6411924.0
2026-07-09,THCOM,508920.0,1320000.0,1828920.0,-811080.0
